ID,Surverse
3350-07D_2019-08-03,1
3350-07D_2019-08-09,0
3350-07D_2019-08-14,1
3350-07D_2019-08-19,1
3350-07D_2019-08-24,1
3350-07D_2019-08-25,1
3350-07D_2019-08-26,1
3350-07D_2019-08-28,0
3350-07D_2019-08-30,0
4240-01D_2019-08-02,1
4240-01D_2019-08-13,1
4240-01D_2019-08-15,1
4240-01D_2019-08-17,0
4240-01D_2019-08-20,1
4240-01D_2019-08-21,1
4240-01D_2019-08-24,1
4240-01D_2019-08-28,0
4240-01D_2019-08-29,1
4350-01D_2019-08-01,1
4350-01D_2019-08-04,1
4350-01D_2019-08-06,1
4350-01D_2019-08-09,0
4350-01D_2019-08-11,1
4350-01D_2019-08-12,1
4350-01D_2019-08-14,1
4350-01D_2019-08-17,0
4350-01D_2019-08-18,1
4350-01D_2019-08-19,1
4350-01D_2019-08-21,1
4350-01D_2019-08-23,1
4350-01D_2019-08-24,1
4350-01D_2019-08-25,1
4350-01D_2019-08-27,1
4350-01D_2019-08-29,1
4380-01D_2019-08-02,1
4380-01D_2019-08-03,1
4380-01D_2019-08-07,1
4380-01D_2019-08-08,0
4380-01D_2019-08-09,0
4380-01D_2019-08-10,1
4380-01D_2019-08-12,1
4380-01D_2019-08-14,1
4380-01D_2019-08-15,1
4380-01D_2019-08-16,1
4380-01D_2019-08-17,0
4380-01D_2019-08-24,1
4380-01D_2019-08-27,1
3260-01D_2019-09-01,1
3260-01D_2019-09-02,0
3260-01D_2019-09-05,1
3260-01D_2019-09-07,0
3260-01D_2019-09-14,0
3260-01D_2019-09-16,1
3260-01D_2019-09-17,1
3260-01D_2019-09-19,1
3260-01D_2019-09-24,1
3350-07D_2019-09-01,1
3350-07D_2019-09-02,0
3350-07D_2019-09-04,0
3350-07D_2019-09-07,0
3350-07D_2019-09-08,1
3350-07D_2019-09-12,1
3350-07D_2019-09-13,1
3350-07D_2019-09-14,0
3350-07D_2019-09-19,1
3350-07D_2019-09-23,0
3350-07D_2019-09-24,1
3350-07D_2019-09-26,0
3350-07D_2019-09-28,0
3350-07D_2019-09-30,1
4240-01D_2019-09-04,0
4240-01D_2019-09-07,0
4240-01D_2019-09-13,1
4240-01D_2019-09-15,1
4240-01D_2019-09-16,1
4240-01D_2019-09-18,1
4240-01D_2019-09-25,1
4240-01D_2019-09-28,1
4350-01D_2019-09-01,1
4350-01D_2019-09-02,0
4350-01D_2019-09-04,0
4350-01D_2019-09-05,1
4350-01D_2019-09-06,1
4350-01D_2019-09-07,0
4350-01D_2019-09-08,1
4350-01D_2019-09-09,1
4350-01D_2019-09-10,1
4350-01D_2019-09-13,1
4350-01D_2019-09-18,1
4350-01D_2019-09-19,1
4350-01D_2019-09-26,0
4350-01D_2019-09-29,1
4380-01D_2019-09-01,1
4380-01D_2019-09-02,0
4380-01D_2019-09-04,0
4380-01D_2019-09-05,1
4380-01D_2019-09-12,1
4380-01D_2019-09-13,1
4380-01D_2019-09-16,1
4380-01D_2019-09-22,1
4380-01D_2019-09-26,0
4380-01D_2019-09-28,0
4380-01D_2019-09-29,1
4380-01D_2019-09-30,1
