date,McTavish,Bellevue,Assomption,Trudeau,StHubert
2013-08-13,104,121,280,109,169
2013-08-14,48,16,20,31,69
2013-08-15,0,0,0,0,46
2013-08-16,0,0,0,0,46
2013-08-17,0,0,0,0,46
2013-08-18,0,0,10,0,48
2013-08-19,0,0,0,0,46
2013-08-20,0,0,0,0,46
2013-08-21,0,0,0,0,46
2013-08-22,212,142,90,67,149
2013-08-23,0,0,10,3,49
2013-08-24,0,0,10,0,48
2013-08-25,10,0,20,4,53
2013-08-26,70,74,20,37,85
2013-08-27,0,0,0,0,46
2013-08-28,10,0,0,42,56
2013-08-29,0,0,0,0,46
2013-08-30,138,109,120,176,154
2013-08-31,0,0,0,0,46
2013-09-01,0,0,0,0,46
2013-09-02,215,75,190,196,180
2013-09-03,10,0,0,0,48
2013-09-04,0,0,0,0,46
2013-09-05,0,0,10,0,48
2013-09-06,0,0,0,0,46
2013-09-07,0,0,0,0,46
2013-09-08,0,0,0,3,47
2013-09-09,0,0,0,0,46
2013-09-10,22,21,10,21,60
2013-09-11,55,98,80,53,103
2013-09-12,362,371,100,320,276
2013-09-13,0,38,0,30,60
2013-09-14,0,0,0,0,46
2013-09-15,12,6,0,3,50
2013-09-16,86,81,60,108,112
2013-09-17,0,0,0,0,46
2013-09-18,0,0,0,0,46
2013-09-19,0,0,0,0,46
2013-09-20,0,0,0,0,46
2013-09-21,88,55,160,83,123
2013-09-22,85,60,50,73,100
2013-09-23,0,0,0,0,46
2013-09-24,0,0,0,0,46
2013-09-25,0,0,0,0,46
2013-09-26,0,0,0,0,46
2013-09-27,0,0,0,0,46
2013-09-28,0,0,0,0,46
2013-09-29,0,0,0,0,46
2013-09-30,0,0,0,0,46
2013-10-01,0,0,0,0,46
2013-10-02,0,0,0,0,46
2013-10-03,0,0,0,0,46
2013-10-04,0,0,0,0,46
2013-10-05,0,0,0,0,46
2013-10-06,36,42,50,53,82
2013-10-07,206,107,140,128,162
2013-10-08,10,0,0,0,48
2013-10-09,0,0,10,0,48
2013-10-10,2089,0,0,0,464
2013-10-11,0,0,0,0,46
2013-10-12,0,0,0,0,46
2013-10-13,0,0,0,0,46
2013-10-14,24,21,70,28,74
2013-10-15,0,0,0,0,46
2013-10-16,12,25,0,7,55
2013-10-17,114,78,80,113,123
2013-10-18,58,34,42,45,82
2013-10-19,0,14,0,16,52
2013-10-20,60,26,68,46,86
2013-10-21,0,0,0,0,46
2013-10-22,16,16,40,13,63
2013-10-23,0,6,6,6,50
2013-10-24,0,0,0,0,46
2013-10-25,0,0,0,0,46
2013-10-26,38,36,30,25,72
2013-10-27,10,6,20,3,53
2013-10-28,28,11,10,15,59
2013-10-29,0,0,0,0,46
2013-10-30,0,0,0,0,46
2013-10-31,202,185,160,183,194
2014-05-01,119,120,240,103,164
2014-05-02,0,9,85,0,65
2014-05-03,14,0,0,5,51
2014-05-04,211,174,100,179,178
2014-05-05,11,0,0,10,49
2014-05-06,0,0,2,0,46
2014-05-07,0,0,0,0,46
2014-05-08,0,0,3,0,46
2014-05-09,22,20,0,6,56
2014-05-10,68,62,110,68,108
2014-05-11,0,0,0,0,46
2014-05-12,0,0,0,0,46
2014-05-13,0,36,0,3,54
2014-05-14,0,0,0,0,46
2014-05-15,0,0,11,0,49
2014-05-16,152,277,92,195,189
2014-05-17,300,152,261,192,226
2014-05-18,0,0,0,0,46
2014-05-19,0,0,0,0,46
2014-05-20,0,0,0,0,46
2014-05-21,0,0,16,3,51
2014-05-22,44,0,0,2,55
2014-05-23,0,0,0,0,46
2014-05-24,0,0,20,0,50
2014-05-25,22,29,0,38,64
2014-05-26,75,19,20,30,76
2014-05-27,86,10,170,39,107
2014-05-28,10,0,12,2,19
2014-05-29,42,0,0,0,0
2014-05-30,56,9,20,15,2
2014-05-31,46,0,0,0,0
2014-06-01,46,0,0,0,0
2014-06-02,46,0,0,0,0
2014-06-03,303,463,330,209,274
2014-06-04,49,0,0,0,11
2014-06-05,49,0,0,0,13
2014-06-06,51,0,14,0,8
2014-06-07,46,0,0,0,0
2014-06-08,46,0,0,0,0
2014-06-09,46,0,0,0,0
2014-06-10,47,4,0,0,0
2014-06-11,65,49,0,15,19
2014-06-12,271,314,270,319,228
2014-06-13,290,218,380,393,222
2014-06-14,140,20,310,24,111
2014-06-15,48,0,10,0,0
2014-06-16,46,0,0,0,0
2014-06-17,149,175,78,150,113
2014-06-18,150,54,162,90,219
2014-06-19,46,0,0,0,0
2014-06-20,46,0,0,0,0
2014-06-21,46,0,0,0,0
2014-06-22,46,0,0,0,0
2014-06-23,46,0,0,0,0
2014-06-24,465,494,782,435,394
2014-06-25,63,0,27,0,61
2014-06-26,46,0,0,0,0
2014-06-27,46,0,0,0,0
2014-06-28,46,0,0,0,0
2014-06-29,46,0,0,0,0
2014-06-30,46,0,0,0,0
2014-07-01,46,0,0,0,0
2014-07-02,51,0,23,0,0
2014-07-03,46,0,0,0,0
2014-07-04,61,7,20,30,15
2014-07-05,52,0,0,0,30
2014-07-06,46,0,0,0,0
2014-07-07,95,52,12,90,86
2014-07-08,141,119,276,62,19
2014-07-09,47,0,0,0,5
2014-07-10,46,0,0,0,0
2014-07-11,46,0,0,0,0
2014-07-12,46,0,0,0,0
2014-07-13,122,117,33,97,129
2014-07-14,46,0,0,0,0
2014-07-15,65,15,40,21,14
2014-07-16,46,0,0,0,2
2014-07-17,48,7,0,0,0
2014-07-18,46,0,0,0,0
2014-07-19,46,0,0,0,0
2014-07-20,46,0,0,0,0
2014-07-21,46,0,0,0,0
2014-07-22,46,0,0,0,0
2014-07-23,112,115,40,113,67
2014-07-24,5,0,0,0,0
2014-07-25,0,0,0,0,0
2014-07-26,4,0,0,0,0
2014-07-27,152,80,80,91,125
2014-07-28,132,116,120,82,169
2014-07-29,2,0,0,0,0
2014-07-30,12,0,20,5,0
2014-07-31,146,150,379,123,119
2014-08-01,0,0,0,0,0
2014-08-02,0,0,0,0,3
2014-08-03,0,0,0,0,0
2014-08-04,6,0,0,0,2
2014-08-05,14,0,270,0,0
2014-08-06,6,0,0,11,5
2014-08-07,10,17,0,53,2
2014-08-08,0,0,10,2,0
2014-08-09,0,0,0,0,0
2014-08-10,0,0,0,0,0
2014-08-11,0,0,0,2,0
2014-08-12,12,5,0,0,0
2014-08-13,618,271,480,440,391
2014-08-14,0,0,0,0,0
2014-08-15,48,10,120,41,4
2014-08-16,182,134,132,118,77
2014-08-17,12,2,20,0,12
2014-08-18,0,0,0,0,0
2014-08-19,0,0,0,2,0
2014-08-20,0,0,0,0,0
2014-08-21,0,12,0,0,0
2014-08-22,0,0,11,0,0
2014-08-23,0,0,20,0,0
2014-08-24,0,0,0,0,0
2014-08-25,0,0,0,0,0
2014-08-26,0,0,0,0,0
2014-08-27,2,3,0,0,2
2014-08-28,0,0,0,0,0
2014-08-29,0,4,0,0,0
2014-08-30,0,0,0,0,0
2014-08-31,108,155,130,98,70
2014-09-01,0,2,0,0,0
2014-09-02,46,56,70,33,6
2014-09-03,2,0,10,0,0
2014-09-04,0,0,0,0,0
2014-09-05,36,114,40,20,23
2014-09-06,112,72,70,36,84
2014-09-07,0,2,0,0,0
2014-09-08,0,0,0,0,0
2014-09-09,39,0,0,0,0
2014-09-10,4,0,0,0,0
2014-09-11,70,60,110,53,46
2014-09-12,0,0,1,0,0
2014-09-13,176,189,140,180,124
2014-09-14,0,0,0,0,0
2014-09-15,0,0,0,0,0
2014-09-16,8,4,0,0,7
2014-09-17,4,21,30,0,0
2014-09-18,10,38,0,58,4
2014-09-19,3,0,0,14,0
2014-09-20,0,0,10,0,0
2014-09-21,20,43,20,51,9
2014-09-22,0,0,0,0,0
2014-09-23,8,7,0,9,2
2014-09-24,0,6,20,0,0
2014-09-25,0,0,0,0,0
2014-09-26,0,0,0,0,0
2014-09-27,0,0,0,0,0
2014-09-28,0,0,0,0,0
2014-09-29,0,0,0,0,0
2014-09-30,0,0,0,0,0
2014-10-01,0,10,0,8,0
2014-10-02,0,0,0,0,0
2014-10-03,0,0,0,0,0
2014-10-04,284,239,190,216,177
2014-10-05,4,0,0,0,2
2014-10-06,0,0,0,0,0
2014-10-07,54,123,90,31,40
2014-10-08,316,187,220,189,273
2014-10-09,8,0,10,3,10
2014-10-10,0,0,0,2,0
2014-10-11,0,0,0,0,0
2014-10-12,0,0,0,0,0
2014-10-13,0,0,0,0,0
2014-10-14,0,0,10,0,0
2014-10-15,38,31,50,41,19
2014-10-16,86,110,90,68,55
2014-10-17,2,0,1,0,0
2014-10-18,20,13,40,16,45
2014-10-19,4,0,0,0,0
2014-10-20,9,0,0,4,2
2014-10-21,34,11,0,22,20
2014-10-22,0,0,0,0,0
2014-10-23,76,50,40,51,68
2014-10-24,6,4,0,9,6
2014-10-25,50,27,60,31,46
2014-10-26,2,0,0,6,0
2014-10-27,0,0,0,0,0
2014-10-28,30,17,30,44,12
2014-10-29,12,9,10,11,12
2014-10-30,0,0,0,1,0
2014-10-31,7,0,0,0,0
2015-05-01,0,0,0,0,0
2015-05-02,0,0,0,2,0
2015-05-03,0,0,0,2,0
2015-05-04,18,12,0,7,7
2015-05-05,2,0,0,2,0
2015-05-06,0,0,10,0,0
2015-05-07,0,0,0,0,0
2015-05-08,0,0,0,0,0
2015-05-09,50,22,80,84,40
2015-05-10,2,0,0,0,0
2015-05-11,208,131,100,189,197
2015-05-12,88,46,60,90,28
2015-05-13,2,0,0,0,0
2015-05-14,0,0,0,2,0
2015-05-15,0,0,0,0,0
2015-05-16,0,0,0,0,2
2015-05-17,0,0,0,4,0
2015-05-18,318,0,290,90,159
2015-05-19,0,0,30,0,25
2015-05-20,0,0,0,0,8
2015-05-21,0,0,0,0,8
2015-05-22,2,0,10,2,6
2015-05-23,2,0,10,0,0
2015-05-24,0,0,0,2,0
2015-05-25,200,206,170,187,160
2015-05-26,52,64,10,47,48
2015-05-27,0,9,0,0,5
2015-05-28,82,79,0,47,28
2015-05-29,0,2,0,2,2
2015-05-30,38,22,230,23,22
2015-05-31,22,40,10,30,14
2015-06-01,24,19,0,18,22
2015-06-02,48,41,22,13,13
2015-06-03,0,2,0,0,0
2015-06-04,0,0,0,0,0
2015-06-05,98,98,40,53,122
2015-06-06,2,0,0,0,0
2015-06-07,0,0,0,0,0
2015-06-08,288,308,290,258,240
2015-06-09,124,48,20,77,199
2015-06-10,32,39,330,24,22
2015-06-11,2,0,6,0,0
2015-06-12,102,131,34,106,84
2015-06-13,2,2,0,0,2
2015-06-14,0,0,0,0,0
2015-06-15,2,0,0,0,5
2015-06-16,406,207,180,242,251
2015-06-17,2,0,0,0,0
2015-06-18,40,57,20,36,20
2015-06-19,0,0,0,0,0
2015-06-20,0,0,0,0,0
2015-06-21,14,165,0,194,10
2015-06-22,14,0,0,66,0
2015-06-23,50,33,90,13,8
2015-06-24,6,0,0,29,2
2015-06-25,2,2,0,2,0
2015-06-26,0,0,40,0,0
2015-06-27,0,0,0,0,0
2015-06-28,164,108,190,113,119
2015-06-29,12,5,0,0,12
2015-06-30,24,36,45,25,14
2015-07-01,244,108,215,95,326
2015-07-02,0,0,0,0,0
2015-07-03,0,0,0,0,0
2015-07-04,0,0,0,0,0
2015-07-05,0,0,0,0,0
2015-07-06,0,0,0,0,0
2015-07-07,68,97,20,2,25
2015-07-08,32,13,20,15,82
2015-07-09,0,0,0,0,0
2015-07-10,0,0,0,0,0
2015-07-11,0,0,0,0,0
2015-07-12,0,0,0,0,0
2015-07-13,6,0,0,0,0
2015-07-14,0,10,30,0,12
2015-07-15,0,0,0,0,0
2015-07-16,43,0,0,4,0
2015-07-17,47,13,0,7,7
2015-07-18,119,65,60,60,49
2015-07-19,159,580,210,412,158
2015-07-20,20,0,0,0,0
2015-07-21,108,175,70,306,57
2015-07-22,0,2,0,2,0
2015-07-23,2,0,20,5,0
2015-07-24,2,37,40,12,0
2015-07-25,0,0,10,0,0
2015-07-26,24,17,70,34,33
2015-07-27,198,258,40,10,283
2015-07-28,0,0,0,2,2
2015-07-29,0,0,0,0,0
2015-07-30,57,32,30,39,60
2015-07-31,0,0,70,0,0
2015-08-01,29,39,0,70,13
2015-08-02,0,0,0,4,2
2015-08-03,0,10,20,2,0
2015-08-04,52,0,0,30,63
2015-08-05,6,4,329,4,10
2015-08-06,0,0,0,0,0
2015-08-07,0,0,0,0,2
2015-08-08,0,0,0,5,0
2015-08-09,0,0,0,2,0
2015-08-10,13,0,0,135,15
2015-08-11,537,368,450,588,392
2015-08-12,21,2,290,20,59
2015-08-13,0,0,0,0,0
2015-08-14,19,50,0,36,25
2015-08-15,19,0,0,6,0
2015-08-16,0,0,0,0,0
2015-08-17,0,0,0,0,0
2015-08-18,197,0,0,46,0
2015-08-19,0,13,0,2,2
2015-08-20,0,0,0,0,0
2015-08-21,106,99,100,142,81
2015-08-22,0,0,0,0,0
2015-08-23,0,0,0,0,0
2015-08-24,0,0,0,0,37
2015-08-25,0,3,0,11,2
2015-08-26,0,0,0,0,0
2015-08-27,2,0,0,0,178
2015-08-28,0,0,0,0,0
2015-08-29,0,0,0,3,0
2015-08-30,0,0,0,0,0
2015-08-31,0,0,0,0,0
2015-09-01,0,0,0,0,0
2015-09-02,0,0,0,0,0
2015-09-03,0,0,0,2,0
2015-09-04,0,0,0,0,0
2015-09-05,0,0,0,3,0
2015-09-06,0,0,0,0,0
2015-09-07,159,142,240,155,174
2015-09-08,0,0,10,0,0
2015-09-09,3,0,0,0,17
2015-09-10,0,0,0,9,0
2015-09-11,0,0,0,3,0
2015-09-12,86,101,70,64,73
2015-09-13,229,250,420,337,212
2015-09-14,107,13,380,56,163
2015-09-15,0,0,0,0,0
2015-09-16,0,0,0,0,0
2015-09-17,0,0,0,0,0
2015-09-18,0,0,0,7,0
2015-09-19,78,68,130,101,33
2015-09-20,0,0,0,2,0
2015-09-21,0,0,0,0,0
2015-09-22,0,0,0,0,0
2015-09-23,0,0,0,0,0
2015-09-24,0,0,0,0,0
2015-09-25,0,0,0,0,0
2015-09-26,0,0,0,0,0
2015-09-27,0,0,0,0,0
2015-09-28,6,0,60,6,6
2015-09-29,301,287,432,289,283
2015-09-30,61,47,13,50,63
2015-10-01,0,0,0,0,0
2015-10-02,0,0,0,0,0
2015-10-03,0,0,0,0,0
2015-10-04,0,0,0,0,0
2015-10-05,0,0,0,2,0
2015-10-06,0,0,0,0,0
2015-10-07,0,0,0,0,0
2015-10-08,7,0,0,4,0
2015-10-09,66,64,50,61,67
2015-10-10,0,0,0,3,0
2015-10-11,0,0,0,0,0
2015-10-12,0,0,0,0,0
2015-10-13,48,11,20,21,24
2015-10-14,2,0,0,0,0
2015-10-15,107,132,60,125,87
2015-10-16,7,36,0,20,2
2015-10-17,122,120,150,115,82
2015-10-18,0,5,0,2,0
2015-10-19,0,7,0,2,0
2015-10-20,0,0,0,0,0
2015-10-21,0,0,0,0,0
2015-10-22,29,29,36,30,29
2015-10-23,0,0,0,0,0
2015-10-24,13,4,0,0,8
2015-10-25,204,152,167,158,178
2015-10-26,2,0,10,0,0
2015-10-27,0,0,0,4,0
2015-10-28,294,267,330,277,277
2015-10-29,137,73,112,100,93
2015-10-30,5,2,0,0,0
2015-10-31,0,2,0,6,0
2016-05-01,51,76,70,83,45
2016-05-02,24,7,10,14,22
2016-05-03,0,0,10,0,0
2016-05-04,0,0,0,0,0
2016-05-05,0,0,0,0,0
2016-05-06,0,0,0,0,0
2016-05-07,0,0,0,7,0
2016-05-08,82,77,129,85,119
2016-05-09,0,0,0,0,0
2016-05-10,0,0,0,0,0
2016-05-11,0,0,0,0,0
2016-05-12,0,0,0,0,0
2016-05-13,33,37,40,39,43
2016-05-14,59,54,83,80,16
2016-05-15,7,3,0,2,10
2016-05-16,4,0,0,2,2
2016-05-17,0,0,0,0,0
2016-05-18,0,0,0,0,0
2016-05-19,0,0,103,0,8
2016-05-20,0,0,1,0,0
2016-05-21,0,0,0,0,0
2016-05-22,0,0,0,0,0
2016-05-23,0,0,0,0,0
2016-05-24,1,0,0,0,0
2016-05-25,0,0,0,0,0
2016-05-26,0,0,0,0,0
2016-05-27,6,56,0,10,0
2016-05-28,0,0,0,0,0
2016-05-29,4,0,0,0,14
2016-05-30,17,0,0,0,89
2016-05-31,0,0,0,0,0
2016-06-01,0,0,0,0,0
2016-06-02,53,46,110,44,34
2016-06-03,0,0,0,0,0
2016-06-04,0,0,0,0,0
2016-06-05,562,234,360,283,424
2016-06-06,53,47,30,31,73
2016-06-07,0,0,0,2,7
2016-06-08,5,4,0,8,0
2016-06-09,5,2,10,0,0
2016-06-10,0,0,0,0,0
2016-06-11,0,0,0,0,0
2016-06-12,0,0,18,0,0
2016-06-13,0,0,0,45,0
2016-06-14,0,8,0,0,0
2016-06-15,0,0,0,0,0
2016-06-16,0,0,0,0,0
2016-06-17,0,0,0,0,0
2016-06-18,0,0,0,2,0
2016-06-19,0,0,0,0,0
2016-06-20,0,0,61,0,0
2016-06-21,0,0,0,0,0
2016-06-22,56,41,0,69,2
2016-06-23,0,0,0,0,0
2016-06-24,0,0,0,0,15
2016-06-25,0,0,0,0,0
2016-06-26,0,0,0,0,0
2016-06-27,26,29,10,24,7
2016-06-28,210,105,80,78,50
2016-06-29,21,7,70,10,29
2016-06-30,0,0,0,0,0
2016-07-01,15,21,0,38,20
2016-07-02,0,0,10,0,0
2016-07-03,2,0,20,13,0
2016-07-04,0,0,10,0,0
2016-07-05,0,0,0,0,0
2016-07-06,0,0,0,0,0
2016-07-07,0,0,0,0,0
2016-07-08,0,0,0,0,0
2016-07-09,216,140,360,160,190
2016-07-10,11,6,41,8,2
2016-07-11,0,0,0,0,0
2016-07-12,0,0,0,0,0
2016-07-13,0,0,0,0,0
2016-07-14,83,106,140,56,175
2016-07-15,5,33,0,8,0
2016-07-16,113,0,20,7,70
2016-07-17,0,0,0,0,0
2016-07-18,167,54,140,160,258
2016-07-19,0,0,0,2,0
2016-07-20,0,0,0,0,0
2016-07-21,0,0,0,0,0
2016-07-22,46,48,0,30,71
2016-07-23,183,167,70,173,164
2016-07-24,0,0,0,0,0
2016-07-25,41,7,100,49,35
2016-07-26,0,0,0,0,18
2016-07-27,0,0,0,0,0
2016-07-28,0,0,0,0,0
2016-07-29,0,0,0,0,0
2016-07-30,0,0,0,2,0
2016-07-31,0,0,0,0,0
2016-08-01,0,0,0,0,0
2016-08-02,0,0,2,0,0
2016-08-03,0,0,0,0,0
2016-08-04,23,0,30,0,0
2016-08-05,0,0,0,0,0
2016-08-06,0,0,0,0,0
2016-08-07,0,0,0,0,69
2016-08-08,0,0,0,0,0
2016-08-09,0,0,0,0,0
2016-08-10,0,0,0,0,0
2016-08-11,0,0,0,0,0
2016-08-12,17,96,90,21,19
2016-08-13,262,203,470,262,294
2016-08-14,162,298,460,223,249
2016-08-15,0,0,0,0,0
2016-08-16,768,699,641,700,618
2016-08-17,10,7,20,12,24
2016-08-18,0,0,10,0,0
2016-08-19,0,0,0,0,0
2016-08-20,0,0,0,0,0
2016-08-21,221,226,230,163,143
2016-08-22,0,0,0,0,0
2016-08-23,0,0,0,0,0
2016-08-24,0,0,0,0,0
2016-08-25,8,6,0,6,29
2016-08-26,0,0,0,0,0
2016-08-27,0,0,0,0,0
2016-08-28,0,0,0,0,0
2016-08-29,0,0,0,0,0
2016-08-30,0,0,0,0,2
2016-08-31,0,147,20,74,0
2016-09-01,0,0,0,0,0
2016-09-02,0,9,0,0,0
2016-09-03,0,0,0,0,0
2016-09-04,0,0,0,0,0
2016-09-05,0,0,0,0,0
2016-09-06,0,0,1,0,0
2016-09-07,0,0,0,2,0
2016-09-08,77,117,130,108,57
2016-09-09,0,0,0,0,0
2016-09-10,0,3,0,0,0
2016-09-11,60,38,30,54,76
2016-09-12,0,0,0,0,0
2016-09-13,0,0,0,0,0
2016-09-14,0,10,0,0,2
2016-09-15,0,0,0,15,0
2016-09-16,0,0,0,0,0
2016-09-17,0,19,20,6,0
2016-09-18,20,16,40,15,24
2016-09-19,0,0,2,2,0
2016-09-20,0,0,0,0,0
2016-09-21,0,0,0,0,7
2016-09-22,11,5,0,5,14
2016-09-23,16,29,10,23,19
2016-09-24,0,0,0,0,0
2016-09-25,0,0,0,0,0
2016-09-26,0,0,0,0,0
2016-09-27,26,8,30,28,17
2016-09-28,0,0,0,0,0
2016-09-29,0,0,2,0,0
2016-09-30,0,0,0,0,0
2016-10-01,0,0,0,0,0
2016-10-02,8,0,30,7,0
2016-10-03,0,0,0,0,2
2016-10-04,0,0,0,0,0
2016-10-05,0,0,0,0,0
2016-10-06,0,0,0,0,0
2016-10-07,0,0,0,0,0
2016-10-08,199,131,220,164,131
2016-10-09,0,0,0,0,0
2016-10-10,0,0,0,0,0
2016-10-11,0,0,0,0,0
2016-10-12,3,0,0,3,0
2016-10-13,76,39,80,63,78
2016-10-14,0,0,0,2,0
2016-10-15,0,0,0,0,0
2016-10-16,126,99,100,120,96
2016-10-17,9,0,10,0,0
2016-10-18,41,69,70,50,62
2016-10-19,0,0,0,0,0
2016-10-20,206,153,160,195,173
2016-10-21,484,356,400,363,439
2016-10-22,271,212,300,266,292
2016-10-23,120,40,130,52,98
2016-10-24,0,0,2,0,0
2016-10-25,1,0,0,0,0
2016-10-26,0,0,0,0,0
2016-10-27,118,125,60,125,114
2016-10-28,96,138,80,59,105
2016-10-29,87,65,80,65,63
2016-10-30,0,0,0,0,0
2016-10-31,0,0,0,0,0
2017-05-01,459,476,530,456,421
2017-05-02,0,0,20,0,0
2017-05-03,0,0,0,0,0
2017-05-04,0,0,0,0,0
2017-05-05,170,277,150,194,125
2017-05-06,58,92,70,83,24
2017-05-07,73,93,110,73,86
2017-05-08,2,4,0,2,0
2017-05-09,4,2,0,0,0
2017-05-10,0,0,0,0,0
2017-05-11,0,0,0,0,0
2017-05-12,0,0,0,0,0
2017-05-13,0,38,0,9,15
2017-05-14,28,35,70,33,35
2017-05-15,2,5,0,5,9
2017-05-16,0,0,0,0,0
2017-05-17,0,0,0,0,0
2017-05-18,7,3,10,2,0
2017-05-19,2,0,0,2,2
2017-05-20,0,2,0,0,0
2017-05-21,0,5,0,0,2
2017-05-22,83,105,30,83,56
2017-05-23,0,0,11,0,0
2017-05-24,6,0,0,0,5
2017-05-25,124,96,170,86,125
2017-05-26,22,23,40,24,10
2017-05-27,0,0,0,0,0
2017-05-28,0,0,0,0,0
2017-05-29,109,58,60,64,78
2017-05-30,71,84,100,83,33
2017-05-31,47,13,210,13,50
2017-06-01,2,0,0,0,0
2017-06-02,14,14,0,45,17
2017-06-03,0,14,0,0,2
2017-06-04,0,0,0,0,0
2017-06-05,434,323,230,368,253
2017-06-06,192,138,90,124,85
2017-06-07,0,0,0,0,0
2017-06-08,0,0,0,2,0
2017-06-09,0,0,0,2,0
2017-06-10,0,0,0,2,0
2017-06-11,0,0,10,0,0
2017-06-12,0,0,0,22,53
2017-06-13,0,0,0,0,0
2017-06-14,0,0,0,0,0
2017-06-15,0,0,0,0,0
2017-06-16,292,175,210,233,253
2017-06-17,0,0,0,0,0
2017-06-18,0,0,80,0,5
2017-06-19,2,9,0,5,14
2017-06-20,174,96,80,159,117
2017-06-21,0,0,30,0,0
2017-06-22,0,0,0,0,0
2017-06-23,136,110,60,114,124
2017-06-24,0,0,34,0,0
2017-06-25,0,0,140,0,10
2017-06-26,55,8,0,15,38
2017-06-27,27,0,20,14,131
2017-06-28,2,35,10,0,0
2017-06-29,27,61,69,32,19
2017-06-30,64,41,96,57,90
2017-07-01,31,71,84,52,29
2017-07-02,0,14,49,0,0
2017-07-03,0,0,46,0,0
2017-07-04,0,0,13,0,0
2017-07-05,0,0,0,0,0
2017-07-06,0,0,0,0,0
2017-07-07,76,70,350,100,85
2017-07-08,327,173,280,207,194
2017-07-09,0,0,0,2,0
2017-07-10,24,16,0,21,17
2017-07-11,0,0,10,0,0
2017-07-12,0,0,0,13,8
2017-07-13,7,14,50,8,12
2017-07-14,56,75,0,77,57
2017-07-15,8,32,20,11,4
2017-07-16,0,16,0,7,0
2017-07-17,13,6,0,33,33
2017-07-18,0,0,0,0,0
2017-07-19,13,0,0,75,46
2017-07-20,0,268,0,88,4
2017-07-21,61,0,0,0,8
2017-07-22,0,0,0,0,0
2017-07-23,0,0,3,0,0
