date,McTavish,Bellevue,Assomption,Trudeau,StHubert
2015-04-10,,121,240,138,153
2015-04-11,,0,0,0,0
2015-04-12,,0,0,0,0
2015-04-13,10,29,10,,8
2015-04-14,42,10,20,,30
2015-04-15,0,0,0,2,0
2015-04-16,0,0,0,0,0
2015-04-17,0,0,0,0,0
2015-04-18,,0,0,0,0
2015-04-19,,0,19,2,0
2015-04-20,118,132,130,104,102
2015-04-21,172,170,100,166,85
2015-04-22,26,24,30,28,61
2015-04-23,,12,0,13,6
2015-04-24,,0,0,0,0
2015-04-25,,0,0,0,0
2015-04-26,2,0,0,0,
2015-04-27,10,5,0,7,
2015-04-28,2,0,10,0,
2015-04-29,0,0,0,0,0
2015-04-30,0,0,0,0,0
2016-04-01,41,19,10,24,74
2016-04-02,21,31,20,23,27
2016-04-03,2,0,0,4,0
2016-04-04,0,0,,0,0
2016-04-05,0,0,0,0,0
2016-04-06,84,88,60,48,41
2016-04-07,480,369,530,463,372
2016-04-08,29,6,0,11,6
2016-04-09,0,0,0,0,0
2016-04-10,0,0,0,0,0
2016-04-11,170,162,100,140,116
2016-04-12,30,10,40,17,16
2016-04-13,2,0,0,2,0
2016-04-14,,0,0,0,0
2016-04-15,0,0,0,,0
2016-04-16,0,0,0,0,0
2016-04-17,0,0,0,0,0
2016-04-18,103,88,80,110,87
2016-04-19,6,6,0,7,5
2016-04-20,0,0,0,0,0
2016-04-21,0,0,0,0,0
2016-04-22,91,48,50,67,64
2016-04-23,0,2,0,0,0
2016-04-24,0,0,0,0,0
2016-04-25,0,0,0,0,0
2016-04-26,0,0,0,0,0
2016-04-27,0,0,0,0,0
2016-04-28,0,0,0,0,0
2016-04-29,0,0,0,0,0
2016-04-30,0,0,0,0,0
2017-04-01,96,60,100,58,67
2017-04-02,0,0,0,0,0
2017-04-03,0,0,0,0,0
2017-04-04,376,312,250,338,327
2017-04-05,57,42,60,29,37
2017-04-06,430,373,400,366,357
2017-04-07,149,83,110,99,110
2017-04-08,2,0,0,2,0
2017-04-09,0,0,0,0,0
2017-04-10,31,0,10,3,17
2017-04-11,51,19,20,39,69
2017-04-12,7,10,10,22,14
2017-04-13,2,0,0,0,0
2017-04-14,0,0,0,2,0
2017-04-15,5,17,0,7,7
2017-04-16,231,105,270,163,211
2017-04-17,14,17,10,26,10
2017-04-18,0,0,,0,0
2017-04-19,212,193,170,167,170
2017-04-20,0,0,0,0,0
2017-04-21,70,49,121,70,61
2017-04-22,5,0,0,3,2
2017-04-23,2,3,11,2,0
2017-04-24,0,0,0,0,0
2017-04-25,40,67,50,53,34
2017-04-26,18,10,20,8,14
2017-04-27,0,0,0,0,0
2017-04-28,12,2,0,2,5
2017-04-29,0,0,0,0,0
2017-04-30,16,12,0,11,21
2018-04-01,10,4,2,10,4
2018-04-02,0,0,0,0,0
2018-04-03,0,3,3,2,0
2018-04-04,324,249,257,240,290
2018-04-05,6,2,2,2,0
2018-04-06,8,2,4,0,0
2018-04-07,2,0,2,2,0
2018-04-08,0,0,3,0,0
2018-04-09,0,0,0,0,0
2018-04-10,0,2,16,0,0
2018-04-11,0,,2,0,0
2018-04-12,72,62,,56,80
2018-04-13,0,,4,0,0
2018-04-14,0,2,0,0,0
2018-04-15,9,6,0,11,0
2018-04-16,132,131,188,109,137
2018-04-17,27,6,29,6,17
2018-04-18,16,8,5,7,0
2018-04-19,4,3,0,0,0
2018-04-20,,0,0,0,2
2018-04-21,0,0,5,0,0
2018-04-22,0,0,16,0,0
2018-04-23,0,0,6,2,0
2018-04-24,,0,7,2,0
2018-04-25,273,128,236,165,189
2018-04-26,103,84,195,65,126
2018-04-27,0,0,3,0,0
2018-04-28,0,13,7,9,0
2018-04-29,139,163,96,127,149
2018-04-30,111,119,99,110,95
2019-04-01,2,0,3,0,0
2019-04-02,0,0,0,0,0
2019-04-03,0,0,0,0,2
2019-04-04,0,0,0,0,0
2019-04-05,12,12,7,8,15
2019-04-06,45,35,13,36,33
2019-04-07,0,0,0,0,0
2019-04-08,185,119,168,138,163
2019-04-09,106,83,154,81,65
2019-04-10,3,0,,0,0
2019-04-11,0,0,0,0,0
2019-04-12,0,0,0,0,2
2019-04-13,0,0,2,0,0
2019-04-14,59,51,73,50,57
2019-04-15,27,39,64,18,18
2019-04-16,0,0,0,0,0
2019-04-17,0,0,0,0,0
2019-04-18,5,7,0,0,2
2019-04-19,289,276,244,263,223
2019-04-20,160,142,118,153,182
2019-04-21,0,0,2,0,2
2019-04-22,0,0,0,0,0
2019-04-23,26,24,25,14,27
2019-04-24,83,60,57,72,91
2019-04-25,2,0,0,0,0
2019-04-26,191,141,195,179,153
2019-04-27,180,123,117,126,127
2019-04-28,0,0,0,0,0
2019-04-29,0,0,0,0,0
2019-04-30,0,0,0,0,0
